1,4
2,4
3,4
4,5
5,6
5,7
5,8
5,9
5,10
6,11
12,13
13,14
5,82
15,82
16,82
17,82
18,82
19,82
19,20
21,22
13,89
22,83
23,83
24,83
25,83
26,83
27,28
27,29
30,37
31,37
32,33
33,34
32,35
36,84
27,84
32,84
37,84
38,84
39,84
40,84
40,41
42,43
42,44
42,85
45,85
47,85
48,85
50,85
51,85
52,85
53,86
54,86
55,86
56,86
57,86
58,59
58,60
58,61
58,62
58,86
63,87
63,64
65,87
65,66
66,67
66,68
65,69
70,87
71,87
72,87
73,88
73,74
73,75
73,76
77,88
77,78
79,88
79,80
12,82
81,88
82,83
83,84
84,85
46,85
49,85
85,86
86,87
87,88
