1,58
2,53
3,4
3,55
4,69
5,59
6,57
7,64
8,60
9,16
10,13
11,85
12,57
13,102
13,109
14,116
15,86
15,54
16,113
17,118
18,78
18,79
19,66
20,70
21,70
22,65
23,65
24,101
24,39
25,120
26,117
27,118
28,78
29,116
30,119
31,111
32,111
33,119
34,97
35,96
36,37
36,55
38,79
39,109
40,45
41,121
42,115
42,98
43,115
44,124
45,125
46,101
47,102
48,117
49,58
50,58
51,73
52,83
53,88
53,92
54,122
56,58
56,77
56,121
57,112
57,98
58,76
59,72
60,124
60,121
61,93
61,82
61,129
61,67
62,92
63,69
63,64
64,65
65,66
66,70
67,74
68,112
68,71
68,122
69,125
69,78
70,71
71,75
72,91
73,88
75,90
77,80
80,81
81,107
82,107
83,88
84,97
85,87
85,105
86,90
87,105
87,110
88,103
89,108
89,100
91,96
92,125
93,97
94,106
94,114
94,126
95,100
96,124
98,114
99,127
101,102
101,105
102,120
103,108
103,117
104,110
107,123
108,113
110,129
111,118
111,119
112,122
113,118
114,127
114,116
116,119
117,120
126,127
128,129
