,1,382,1255
,2,382,1316
2C01,3,398,1216
2C01A,4,552,1136
2C01B,5,552,1108
,6,800,1255
2C04,7,430,1293
2C09.01,8,669,1215
2C09.02,9,680,1075
2C06,10,700,1288
2C13,11,800,1216
2C14,12,835,1288
,13,1150,1255
2C21,14,1064,1214
2C22,15,1101,1289
2C25,16,1200,1218
,17,1422,1255
2C30,18,1369,1289
$[VENDINGMACHINE],19,1489,1215
2C41,20,1454,1217
,21,1652,1255
2C38,22,1651,1289
,23,1689,1283
,24,1689,1178
2C00F,25,1579,1219
,26,1652,1026
$[MBATHROOM],27,1613,1107
2C49,28,1611,1078
2C44,29,1684,1087
2W01,30,1615,967
2W02,31,1683,941
,32,1652,555
2W05,33,1613,834
2W06,34,1683,809
2W09,35,1613,724
2W10,36,1683,719
2W13,37,1613,589
2W14,38,1683,586
2W15,39,1613,524
2W16,40,1683,522
2W18,41,1683,454
,42,1652,256
,43,1587,256
2W19,44,1613,323
2W22,45,1683,256
