1C03A,1,394,1178
1C01,2,448,1138
1C05,3,475,1139
1C03,4,442,1175
1C03D,5,497,1211
1C03B,6,621,1158
1C03C,7,578,1184
1C07,8,584,1137
1C09,9,611,1139
1C09A,10,632,1170
1C11,11,693,1094
,12,392,1248
,13,359,1248
,14,348,1307
1C04,15,433,1283
1C06,16,493,1283
1C08,17,566,1282
1C10,18,626,1282
1C12,19,700,1282
1C12A,20,705,1345
1C14A,21,730,1345
1C14,22,763,1282
1C16,23,833,1282
1C13,24,763,1211
1C18,25,894,1280
1C19,26,966,1211
1C21,27,1042,1211
1C19B,28,986,1128
1C19A,29,1030,1101
1C23,30,1130,1085
1C25A,31,1129,1135
1C22.01,32,1085,1282
1C22.02,33,967,1321
1C20,34,981,1345
1C22A,35,1012,1345
1C24,36,1100,1282
1C25,37,1233,1212
1C31,38,1348,1212
1C28.02,39,1160,1282
1C28.01,40,1293,1282
1C32,41,1333,1376
1C34,42,1500,1282
1C34A,43,1450,1346
1C36,44,1475,1346
1C38,45,1627,1282
,46,1668,1246
$WBATHROOM,47,1433,1211
1C45,48,1511,1211
,49,1672,1174
$MBATHROOM,50,1592,1101
1C49,51,1590,1073
1C44,52,1662,1081
1W02,53,1671,988
1W01,54,1592,915
1W04,55,1662,920
1W06,56,1668,851
1W08,57,1667,787
1W05A,58,1592,778
1W05,59,1521,830
1W07,60,1521,820
1W09,61,1521,694
1W11,62,1521,670
1W14B,63,1662,656
1W10,64,1736,696
1W14A,65,1664,584
1W14,66,1791,585
1W12,67,1799,616
1W16,68,1751,548
1W18,69,1739,468
1W13,70,1582,583
1W15,71,1582,517
1W17,72,1579,450
1W19,73,1579,387
1W19C,74,1492,366
1W19B,75,1506,352
1W19A,76,1552,326
1W22,77,1676,318
1W20,78,1733,346
1W24,79,1733,282
1W22A,80,1828,280
,81,1565,249
,82,534,1248
,83,865,1248
,84,1186,1248
,85,1630,1248
,86,1630,886
,87,1630,619
,88,1630,250
,89,328,1248
