3101,1,384,1094
3118,2,380,1193
,3,380,1154
3116,4,328,1171
,5,326,1131
3201,6,452,1124
3203,7,553,1124
3206,8,630,1124
3202,9,490,1203
3204,10,551,1214
3206,11,634,1187
,12,531,1182
3204B,13,536,1203
,14,460,1156
,15,550,1156
,16,633,1156
3208,17,710,1187
3210,18,788,1188
,19,710,1153
,20,783,1153
,21,824,1153
,22,984,1324
,23,983,1264
3303,24,1092,1127
,25,1144,1161
,26,1184,1130
3402,27,1182,1191
3403,28,1262,1130
3404,29,1265,1193
,30,1263,1161
3405,31,1370,1114
,32,1331,1161
3406,33,1362,1218
,34,1366,1191
,35,1386,1134
3407,36,1414,1114
,37,1447,1161
3408,38,1404,1204
$[MBATHROOM],39,1505,1132
3410,40,1506,1191
3409A,41,1490,1106
,42,1506,1161
3510,43,1540,1150
3504,44,1541,1176
,45,1642,1232
3502,46,1615,1238
3508,47,1690,1214
3506,48,1694,1236
$[PRINTER],49,384,1094
