,1,1616,306
,2,1145,306
,3,1410,306
,4,1410,430
,5,1472,430
,6,1472,452
,7,1530,430
,8,1530,452
,9,1315,430
,10,1410,518
,11,1410,545
3101,12,1439,545
,13,1410,578
3103,14,1439,578
,15,1410,680
$[WBATHROOM],16,1439,680
3108,17,1375,680
,18,1410,754
$[MBATHROOM],19,1439,754
,20,1410,825
3117,21,1455,825
,22,1410,892
3118,23,1375,892
,24,1410,952
,25,1375,952
3100A,26,1410,1005
,27,1180,510
,28,1180,490
,29,965,518
,30,965,618
3210,31,936,618
,32,965,650
3205,33,995,650
,34,965,945
3207,35,1000,945
,36,932,945
3230,37,965,1003
,38,846,518
3004,39,846,488
,40,846,425
,41,698,425
3012,42,698,395
,43,922,425
,44,922,384
3006,45,868,384
3002,46,973,384
,47,1063,425
3004A,48,1063,452
3001,49,1098,425
,50,740,518
3035A,51,740,485
,52,521,518
,53,580,518
,54,580,422
3014,55,580,396
,56,378,422
3018,57,378,385
3020,58,485,385
,59,308,368
,60,308,405
3302,61,418,518
,62,521,590
,63,562,590
,64,672,673
,65,521,748
3304,66,467,785
,67,487,792
3306,68,487,838
3313,69,560,748
,70,521,837
3317,71,560,837
,72,521,944
3321,73,568,944
,74,480,944
,75,1930,338
,76,2086,406
,77,1808,406
,78,1808,327
,79,1808,255
,80,83,255
